Sum of Sales	Year	Quarter	Month	Day	forecastValue	confidenceHighBound	confidenceLowBound	Earliest Date							
$643.98 	2015	Qtr 2	April	23				4/23/2015 0:00							
"$2,379.99 "	2015	Qtr 2	April	25				4/25/2015 0:00							
$282.57 	2015	Qtr 2	April	26				4/26/2015 0:00							
"$2,578.48 "	2015	Qtr 2	April	28				4/28/2015 0:00							
$768.84 	2015	Qtr 2	April	29				4/29/2015 0:00							
"$1,048.74 "	2015	Qtr 2	April	30				4/30/2015 0:00							
$19.54 	2015	Qtr 2	May	1				5/1/2015 0:00							
$705.56 	2015	Qtr 2	May	3				5/3/2015 0:00							
"$5,179.74 "	2015	Qtr 2	May	4				5/4/2015 0:00							
$260.98 	2015	Qtr 2	May	5				5/5/2015 0:00							
"$1,444.10 "	2015	Qtr 2	May	7				5/7/2015 0:00							
"$2,408.72 "	2015	Qtr 2	May	8				5/8/2015 0:00							
$296.30 	2015	Qtr 2	May	9				5/9/2015 0:00							
$191.90 	2015	Qtr 2	May	10				5/10/2015 0:00							
"$1,694.56 "	2015	Qtr 2	May	11				5/11/2015 0:00							
"$2,963.64 "	2015	Qtr 2	May	12				5/12/2015 0:00							
$898.38 	2015	Qtr 2	May	13				5/13/2015 0:00							
$310.88 	2015	Qtr 2	May	14				5/14/2015 0:00							
$289.28 	2015	Qtr 2	May	16				5/16/2015 0:00							
$91.68 	2015	Qtr 2	May	17				5/17/2015 0:00							
$944.96 	2015	Qtr 2	May	18				5/18/2015 0:00							
$91.62 	2015	Qtr 2	May	19				5/19/2015 0:00							
$320.10 	2015	Qtr 2	May	20				5/20/2015 0:00							
"$4,264.33 "	2015	Qtr 2	May	21				5/21/2015 0:00							
$180.93 	2015	Qtr 2	May	22				5/22/2015 0:00							
$323.76 	2015	Qtr 2	May	23				5/23/2015 0:00							
$116.28 	2015	Qtr 2	May	24				5/24/2015 0:00							
$119.54 	2015	Qtr 2	May	25				5/25/2015 0:00							
"$1,325.72 "	2015	Qtr 2	May	26				5/26/2015 0:00							
"$2,157.39 "	2015	Qtr 2	May	27				5/27/2015 0:00							
$221.97 	2015	Qtr 2	May	28				5/28/2015 0:00							
"$1,924.91 "	2015	Qtr 2	May	30				5/30/2015 0:00							
$773.70 	2015	Qtr 2	May	31				5/31/2015 0:00							
"$4,407.10 "	2015	Qtr 2	June	1				6/1/2015 0:00							
$330.51 	2015	Qtr 2	June	2				6/2/2015 0:00							
"$1,650.69 "	2015	Qtr 2	June	4				6/4/2015 0:00							
$254.46 	2015	Qtr 2	June	5				6/5/2015 0:00							
"$1,374.00 "	2015	Qtr 2	June	6				6/6/2015 0:00							
"$1,038.47 "	2015	Qtr 2	June	7				6/7/2015 0:00							
$262.89 	2015	Qtr 2	June	8				6/8/2015 0:00							
$100.36 	2015	Qtr 2	June	9				6/9/2015 0:00							
$494.71 	2015	Qtr 2	June	10				6/10/2015 0:00							
"$1,970.98 "	2015	Qtr 2	June	12				6/12/2015 0:00							
$14.52 	2015	Qtr 2	June	13				6/13/2015 0:00							
$212.94 	2015	Qtr 2	June	14				6/14/2015 0:00							
$942.97 	2015	Qtr 2	June	15				6/15/2015 0:00							
$763.79 	2015	Qtr 2	June	16				6/16/2015 0:00							
"$3,356.49 "	2015	Qtr 2	June	17				6/17/2015 0:00							
$139.80 	2015	Qtr 2	June	18				6/18/2015 0:00							
"$1,828.95 "	2015	Qtr 2	June	20				6/20/2015 0:00							
"$4,107.44 "	2015	Qtr 2	June	21				6/21/2015 0:00							
"$1,975.50 "	2015	Qtr 2	June	22				6/22/2015 0:00							
$109.50 	2015	Qtr 2	June	23				6/23/2015 0:00							
$4.27 	2015	Qtr 2	June	24				6/24/2015 0:00							
$792.76 	2015	Qtr 2	June	25				6/25/2015 0:00							
$616.14 	2015	Qtr 2	June	27				6/27/2015 0:00							
"$1,645.79 "	2015	Qtr 2	June	28				6/28/2015 0:00							
$46.68 	2015	Qtr 2	June	29				6/29/2015 0:00							
$739.62 	2015	Qtr 2	June	30				6/30/2015 0:00							
$87.16 	2015	Qtr 3	July	1				7/1/2015 0:00							
$180.32 	2015	Qtr 3	July	2				7/2/2015 0:00							
"$1,561.06 "	2015	Qtr 3	July	3				7/3/2015 0:00							
"$1,021.17 "	2015	Qtr 3	July	4				7/4/2015 0:00							
"$1,091.35 "	2015	Qtr 3	July	5				7/5/2015 0:00							
$281.40 	2015	Qtr 3	July	6				7/6/2015 0:00							
$241.19 	2015	Qtr 3	July	7				7/7/2015 0:00							
"$3,523.88 "	2015	Qtr 3	July	9				7/9/2015 0:00							
$237.36 	2015	Qtr 3	July	10				7/10/2015 0:00							
"$1,302.45 "	2015	Qtr 3	July	11				7/11/2015 0:00							
$548.40 	2015	Qtr 3	July	12				7/12/2015 0:00							
$351.22 	2015	Qtr 3	July	13				7/13/2015 0:00							
$292.59 	2015	Qtr 3	July	14				7/14/2015 0:00							
$9.51 	2015	Qtr 3	July	15				7/15/2015 0:00							
$273.04 	2015	Qtr 3	July	18				7/18/2015 0:00							
$461.33 	2015	Qtr 3	July	19				7/19/2015 0:00							
"$2,285.79 "	2015	Qtr 3	July	20				7/20/2015 0:00							
"$1,961.48 "	2015	Qtr 3	July	21				7/21/2015 0:00							
"$1,348.34 "	2015	Qtr 3	July	22				7/22/2015 0:00							
"$2,613.18 "	2015	Qtr 3	July	23				7/23/2015 0:00							
"$8,341.29 "	2015	Qtr 3	July	25				7/25/2015 0:00							
"$5,039.99 "	2015	Qtr 3	July	26				7/26/2015 0:00							
$580.06 	2015	Qtr 3	July	27				7/27/2015 0:00							
$193.15 	2015	Qtr 3	July	28				7/28/2015 0:00							
"$1,367.84 "	2015	Qtr 3	July	30				7/30/2015 0:00							
$14.56 	2015	Qtr 3	August	2				8/2/2015 0:00							
"$1,958.75 "	2015	Qtr 3	August	4				8/4/2015 0:00							
"$1,799.97 "	2015	Qtr 3	August	5				8/5/2015 0:00							
"$2,501.26 "	2015	Qtr 3	August	6				8/6/2015 0:00							
$763.07 	2015	Qtr 3	August	7				8/7/2015 0:00							
"$3,955.63 "	2015	Qtr 3	August	8				8/8/2015 0:00							
"$14,228.43 "	2015	Qtr 3	August	9				8/9/2015 0:00							
$147.39 	2015	Qtr 3	August	10				8/10/2015 0:00							
$333.58 	2015	Qtr 3	August	11				8/11/2015 0:00							
"$1,095.12 "	2015	Qtr 3	August	12				8/12/2015 0:00							
$337.50 	2015	Qtr 3	August	15				8/15/2015 0:00							
$853.09 	2015	Qtr 3	August	16				8/16/2015 0:00							
$500.34 	2015	Qtr 3	August	17				8/17/2015 0:00							
"$1,439.11 "	2015	Qtr 3	August	19				8/19/2015 0:00							
"$1,838.72 "	2015	Qtr 3	August	20				8/20/2015 0:00							
$23.10 	2015	Qtr 3	August	22				8/22/2015 0:00							
$565.22 	2015	Qtr 3	August	23				8/23/2015 0:00							
$59.74 	2015	Qtr 3	August	24				8/24/2015 0:00							
"$1,451.65 "	2015	Qtr 3	August	25				8/25/2015 0:00							
$366.81 	2015	Qtr 3	August	26				8/26/2015 0:00							
"$2,070.13 "	2015	Qtr 3	August	27				8/27/2015 0:00							
$832.32 	2015	Qtr 3	August	29				8/29/2015 0:00							
$121.24 	2015	Qtr 3	August	30				8/30/2015 0:00							
$92.52 	2015	Qtr 3	August	31				8/31/2015 0:00							
$40.54 	2015	Qtr 3	September	1				9/1/2015 0:00							
$394.48 	2015	Qtr 3	September	5				9/5/2015 0:00							
"$5,463.01 "	2015	Qtr 3	September	6				9/6/2015 0:00							
$265.52 	2015	Qtr 3	September	7				9/7/2015 0:00							
"$3,605.69 "	2015	Qtr 3	September	8				9/8/2015 0:00							
"$4,043.59 "	2015	Qtr 3	September	9				9/9/2015 0:00							
$249.36 	2015	Qtr 3	September	10				9/10/2015 0:00							
"$1,574.09 "	2015	Qtr 3	September	11				9/11/2015 0:00							
"$1,522.65 "	2015	Qtr 3	September	12				9/12/2015 0:00							
"$1,275.41 "	2015	Qtr 3	September	13				9/13/2015 0:00							
"$5,023.72 "	2015	Qtr 3	September	14				9/14/2015 0:00							
$133.44 	2015	Qtr 3	September	15				9/15/2015 0:00							
$33.55 	2015	Qtr 3	September	16				9/16/2015 0:00							
$820.52 	2015	Qtr 3	September	17				9/17/2015 0:00							
"$9,338.64 "	2015	Qtr 3	September	19				9/19/2015 0:00							
"$5,335.97 "	2015	Qtr 3	September	20				9/20/2015 0:00							
"$2,679.65 "	2015	Qtr 3	September	21				9/21/2015 0:00							
"$1,240.27 "	2015	Qtr 3	September	22				9/22/2015 0:00							
"$10,662.34 "	2015	Qtr 3	September	23				9/23/2015 0:00							
$211.96 	2015	Qtr 3	September	24				9/24/2015 0:00							
$354.89 	2015	Qtr 3	September	25				9/25/2015 0:00							
"$1,326.79 "	2015	Qtr 3	September	26				9/26/2015 0:00							
$773.44 	2015	Qtr 3	September	27				9/27/2015 0:00							
$490.29 	2015	Qtr 3	September	28				9/28/2015 0:00							
"$8,109.07 "	2015	Qtr 3	September	29				9/29/2015 0:00							
$987.53 	2015	Qtr 3	September	30				9/30/2015 0:00							
$54.83 	2015	Qtr 4	October	1				10/1/2015 0:00							
$741.96 	2015	Qtr 4	October	3				10/3/2015 0:00							
"$2,343.80 "	2015	Qtr 4	October	5				10/5/2015 0:00							
$491.55 	2015	Qtr 4	October	6				10/6/2015 0:00							
"$1,855.23 "	2015	Qtr 4	October	9				10/9/2015 0:00							
"$2,049.39 "	2015	Qtr 4	October	10				10/10/2015 0:00							
"$2,002.56 "	2015	Qtr 4	October	11				10/11/2015 0:00							
$573.34 	2015	Qtr 4	October	12				10/12/2015 0:00							
"$2,212.18 "	2015	Qtr 4	October	13				10/13/2015 0:00							
"$4,525.48 "	2015	Qtr 4	October	14				10/14/2015 0:00							
$206.72 	2015	Qtr 4	October	15				10/15/2015 0:00							
$194.32 	2015	Qtr 4	October	16				10/16/2015 0:00							
$136.07 	2015	Qtr 4	October	17				10/17/2015 0:00							
"$3,134.92 "	2015	Qtr 4	October	18				10/18/2015 0:00							
$641.10 	2015	Qtr 4	October	19				10/19/2015 0:00							
"$1,501.10 "	2015	Qtr 4	October	20				10/20/2015 0:00							
"$1,356.60 "	2015	Qtr 4	October	21				10/21/2015 0:00							
$223.81 	2015	Qtr 4	October	22				10/22/2015 0:00							
$56.49 	2015	Qtr 4	October	24				10/24/2015 0:00							
$103.88 	2015	Qtr 4	October	25				10/25/2015 0:00							
$447.88 	2015	Qtr 4	October	26				10/26/2015 0:00							
$22.32 	2015	Qtr 4	October	27				10/27/2015 0:00							
"$1,510.58 "	2015	Qtr 4	October	28				10/28/2015 0:00							
"$2,813.81 "	2015	Qtr 4	October	29				10/29/2015 0:00							
"$5,362.03 "	2015	Qtr 4	October	31				10/31/2015 0:00							
$9.94 	2015	Qtr 4	November	1				11/1/2015 0:00							
"$2,043.40 "	2015	Qtr 4	November	2				11/2/2015 0:00							
$918.31 	2015	Qtr 4	November	3				11/3/2015 0:00							
"$1,915.24 "	2015	Qtr 4	November	4				11/4/2015 0:00							
"$1,642.80 "	2015	Qtr 4	November	5				11/5/2015 0:00							
"$2,022.36 "	2015	Qtr 4	November	7				11/7/2015 0:00							
$451.62 	2015	Qtr 4	November	8				11/8/2015 0:00							
$127.95 	2015	Qtr 4	November	9				11/9/2015 0:00							
"$1,381.16 "	2015	Qtr 4	November	10				11/10/2015 0:00							
"$7,836.98 "	2015	Qtr 4	November	11				11/11/2015 0:00							
"$1,034.73 "	2015	Qtr 4	November	14				11/14/2015 0:00							
"$1,780.82 "	2015	Qtr 4	November	15				11/15/2015 0:00							
"$1,355.93 "	2015	Qtr 4	November	16				11/16/2015 0:00							
"$11,544.27 "	2015	Qtr 4	November	17				11/17/2015 0:00							
"$3,406.86 "	2015	Qtr 4	November	18				11/18/2015 0:00							
"$7,226.09 "	2015	Qtr 4	November	19				11/19/2015 0:00							
$907.56 	2015	Qtr 4	November	20				11/20/2015 0:00							
"$1,249.62 "	2015	Qtr 4	November	21				11/21/2015 0:00							
"$1,103.30 "	2015	Qtr 4	November	22				11/22/2015 0:00							
"$1,363.28 "	2015	Qtr 4	November	23				11/23/2015 0:00							
"$5,572.86 "	2015	Qtr 4	November	24				11/24/2015 0:00							
"$4,415.70 "	2015	Qtr 4	November	25				11/25/2015 0:00							
"$1,705.99 "	2015	Qtr 4	November	26				11/26/2015 0:00							
$203.66 	2015	Qtr 4	November	27				11/27/2015 0:00							
"$2,280.83 "	2015	Qtr 4	November	28				11/28/2015 0:00							
$649.04 	2015	Qtr 4	November	29				11/29/2015 0:00							
$219.15 	2015	Qtr 4	November	30				11/30/2015 0:00							
$129.57 	2015	Qtr 4	December	2				12/2/2015 0:00							
"$1,872.44 "	2015	Qtr 4	December	4				12/4/2015 0:00							
$734.85 	2015	Qtr 4	December	5				12/5/2015 0:00							
"$1,960.01 "	2015	Qtr 4	December	7				12/7/2015 0:00							
"$1,545.73 "	2015	Qtr 4	December	8				12/8/2015 0:00							
"$4,904.66 "	2015	Qtr 4	December	9				12/9/2015 0:00							
$58.53 	2015	Qtr 4	December	10				12/10/2015 0:00							
$901.65 	2015	Qtr 4	December	11				12/11/2015 0:00							
"$4,938.40 "	2015	Qtr 4	December	12				12/12/2015 0:00							
$293.15 	2015	Qtr 4	December	13				12/13/2015 0:00							
"$7,641.66 "	2015	Qtr 4	December	14				12/14/2015 0:00							
"$1,264.47 "	2015	Qtr 4	December	15				12/15/2015 0:00							
"$4,065.60 "	2015	Qtr 4	December	16				12/16/2015 0:00							
$45.53 	2015	Qtr 4	December	17				12/17/2015 0:00							
"$3,436.76 "	2015	Qtr 4	December	19				12/19/2015 0:00							
"$6,962.44 "	2015	Qtr 4	December	20				12/20/2015 0:00							
"$1,933.44 "	2015	Qtr 4	December	21				12/21/2015 0:00							
$798.97 	2015	Qtr 4	December	22				12/22/2015 0:00							
$942.11 	2015	Qtr 4	December	23				12/23/2015 0:00							
"$1,950.20 "	2015	Qtr 4	December	24				12/24/2015 0:00							
"$2,041.41 "	2015	Qtr 4	December	26				12/26/2015 0:00							
"$2,966.39 "	2015	Qtr 4	December	27				12/27/2015 0:00							
"$2,682.33 "	2015	Qtr 4	December	28				12/28/2015 0:00							
"$2,072.10 "	2015	Qtr 4	December	29				12/29/2015 0:00							
"$2,172.65 "	2015	Qtr 4	December	30				12/30/2015 0:00							
"$5,253.27 "	2015	Qtr 4	December	31				12/31/2015 0:00							
"$1,642.17 "	2016	Qtr 1	January	3				1/3/2016 0:00							
$450.94 	2016	Qtr 1	January	5				1/5/2016 0:00							
$834.20 	2016	Qtr 1	January	6				1/6/2016 0:00							
"$1,011.70 "	2016	Qtr 1	January	8				1/8/2016 0:00							
"$2,367.56 "	2016	Qtr 1	January	9				1/9/2016 0:00							
"$1,158.41 "	2016	Qtr 1	January	10				1/10/2016 0:00							
"$3,106.11 "	2016	Qtr 1	January	11				1/11/2016 0:00							
"$7,130.59 "	2016	Qtr 1	January	12				1/12/2016 0:00							
$622.28 	2016	Qtr 1	January	13				1/13/2016 0:00							
$350.38 	2016	Qtr 1	January	17				1/17/2016 0:00							
$301.74 	2016	Qtr 1	January	19				1/19/2016 0:00							
$43.66 	2016	Qtr 1	January	23				1/23/2016 0:00							
$13.12 	2016	Qtr 1	January	24				1/24/2016 0:00							
$182.72 	2016	Qtr 1	January	26				1/26/2016 0:00							
"$3,573.25 "	2016	Qtr 1	January	27				1/27/2016 0:00							
"$4,297.64 "	2016	Qtr 1	January	28				1/28/2016 0:00							
"$2,161.64 "	2016	Qtr 1	January	30				1/30/2016 0:00							
$99.26 	2016	Qtr 1	January	31				1/31/2016 0:00							
"$1,932.10 "	2016	Qtr 1	February	1				2/1/2016 0:00							
$899.57 	2016	Qtr 1	February	3				2/3/2016 0:00							
$299.22 	2016	Qtr 1	February	4				2/4/2016 0:00							
$167.23 	2016	Qtr 1	February	5				2/5/2016 0:00							
"$1,631.90 "	2016	Qtr 1	February	7				2/7/2016 0:00							
"$1,290.48 "	2016	Qtr 1	February	8				2/8/2016 0:00							
"$1,269.27 "	2016	Qtr 1	February	10				2/10/2016 0:00							
"$5,528.55 "	2016	Qtr 1	February	11				2/11/2016 0:00							
"$1,079.96 "	2016	Qtr 1	February	14				2/14/2016 0:00							
"$1,602.38 "	2016	Qtr 1	February	15				2/15/2016 0:00							
$160.43 	2016	Qtr 1	February	16				2/16/2016 0:00							
$105.84 	2016	Qtr 1	February	18				2/18/2016 0:00							
$316.78 	2016	Qtr 1	February	20				2/20/2016 0:00							
"$2,591.10 "	2016	Qtr 1	February	21				2/21/2016 0:00							
$79.36 	2016	Qtr 1	February	22				2/22/2016 0:00							
$37.78 	2016	Qtr 1	February	23				2/23/2016 0:00							
$25.87 	2016	Qtr 1	February	25				2/25/2016 0:00							
"$1,159.27 "	2016	Qtr 1	February	27				2/27/2016 0:00							
$551.26 	2016	Qtr 1	February	28				2/28/2016 0:00							
"$1,768.22 "	2016	Qtr 1	March	1				3/1/2016 0:00							
$492.84 	2016	Qtr 1	March	2				3/2/2016 0:00							
"$2,198.76 "	2016	Qtr 1	March	5				3/5/2016 0:00							
$823.98 	2016	Qtr 1	March	7				3/7/2016 0:00							
"$1,874.90 "	2016	Qtr 1	March	9				3/9/2016 0:00							
$275.22 	2016	Qtr 1	March	10				3/10/2016 0:00							
"$2,800.85 "	2016	Qtr 1	March	11				3/11/2016 0:00							
"$1,972.65 "	2016	Qtr 1	March	12				3/12/2016 0:00							
"$1,384.86 "	2016	Qtr 1	March	13				3/13/2016 0:00							
$707.90 	2016	Qtr 1	March	14				3/14/2016 0:00							
$16.78 	2016	Qtr 1	March	15				3/15/2016 0:00							
"$7,230.21 "	2016	Qtr 1	March	16				3/16/2016 0:00							
$48.84 	2016	Qtr 1	March	17				3/17/2016 0:00							
"$5,203.89 "	2016	Qtr 1	March	19				3/19/2016 0:00							
$102.52 	2016	Qtr 1	March	20				3/20/2016 0:00							
"$1,270.38 "	2016	Qtr 1	March	21				3/21/2016 0:00							
"$2,481.42 "	2016	Qtr 1	March	22				3/22/2016 0:00							
$633.30 	2016	Qtr 1	March	23				3/23/2016 0:00							
$412.95 	2016	Qtr 1	March	24				3/24/2016 0:00							
$131.16 	2016	Qtr 1	March	26				3/26/2016 0:00							
$83.70 	2016	Qtr 1	March	27				3/27/2016 0:00							
$243.34 	2016	Qtr 1	March	28				3/28/2016 0:00							
"$1,559.08 "	2016	Qtr 1	March	29				3/29/2016 0:00							
$571.22 	2016	Qtr 1	March	30				3/30/2016 0:00							
$200.72 	2016	Qtr 1	March	31				3/31/2016 0:00							
$264.46 	2016	Qtr 2	April	1				4/1/2016 0:00							
"$1,484.60 "	2016	Qtr 2	April	4				4/4/2016 0:00							
"$1,121.36 "	2016	Qtr 2	April	5				4/5/2016 0:00							
"$1,192.31 "	2016	Qtr 2	April	6				4/6/2016 0:00							
"$1,138.29 "	2016	Qtr 2	April	7				4/7/2016 0:00							
"$1,071.28 "	2016	Qtr 2	April	9				4/9/2016 0:00							
$505.58 	2016	Qtr 2	April	10				4/10/2016 0:00							
"$5,185.81 "	2016	Qtr 2	April	12				4/12/2016 0:00							
"$3,192.68 "	2016	Qtr 2	April	13				4/13/2016 0:00							
$35.21 	2016	Qtr 2	April	14				4/14/2016 0:00							
"$4,161.97 "	2016	Qtr 2	April	16				4/16/2016 0:00							
"$2,745.11 "	2016	Qtr 2	April	17				4/17/2016 0:00							
"$2,006.96 "	2016	Qtr 2	April	18				4/18/2016 0:00							
$329.96 	2016	Qtr 2	April	19				4/19/2016 0:00							
"$1,194.73 "	2016	Qtr 2	April	20				4/20/2016 0:00							
$893.09 	2016	Qtr 2	April	21				4/21/2016 0:00							
$152.92 	2016	Qtr 2	April	22				4/22/2016 0:00							
$25.99 	2016	Qtr 2	April	24				4/24/2016 0:00							
$920.95 	2016	Qtr 2	April	25				4/25/2016 0:00							
"$2,090.11 "	2016	Qtr 2	April	26				4/26/2016 0:00							
"$2,719.59 "	2016	Qtr 2	April	27				4/27/2016 0:00							
"$4,044.36 "	2016	Qtr 2	April	28				4/28/2016 0:00							
$7.97 	2016	Qtr 2	April	29				4/29/2016 0:00							
"$1,571.70 "	2016	Qtr 2	April	30				4/30/2016 0:00							
$295.27 	2016	Qtr 2	May	1				5/1/2016 0:00							
"$1,969.27 "	2016	Qtr 2	May	3				5/3/2016 0:00							
"$2,974.06 "	2016	Qtr 2	May	4				5/4/2016 0:00							
"$1,533.20 "	2016	Qtr 2	May	6				5/6/2016 0:00							
$121.65 	2016	Qtr 2	May	7				5/7/2016 0:00							
$72.65 	2016	Qtr 2	May	8				5/8/2016 0:00							
$934.10 	2016	Qtr 2	May	9				5/9/2016 0:00							
$851.09 	2016	Qtr 2	May	10				5/10/2016 0:00							
$834.87 	2016	Qtr 2	May	11				5/11/2016 0:00							
$897.32 	2016	Qtr 2	May	12				5/12/2016 0:00							
$238.38 	2016	Qtr 2	May	13				5/13/2016 0:00							
"$3,141.20 "	2016	Qtr 2	May	14				5/14/2016 0:00							
$69.91 	2016	Qtr 2	May	15				5/15/2016 0:00							
$255.97 	2016	Qtr 2	May	16				5/16/2016 0:00							
$47.37 	2016	Qtr 2	May	17				5/17/2016 0:00							
$10.86 	2016	Qtr 2	May	18				5/18/2016 0:00							
$169.54 	2016	Qtr 2	May	20				5/20/2016 0:00							
$72.33 	2016	Qtr 2	May	21				5/21/2016 0:00							
"$3,862.10 "	2016	Qtr 2	May	22				5/22/2016 0:00							
"$1,304.96 "	2016	Qtr 2	May	23				5/23/2016 0:00							
$610.31 	2016	Qtr 2	May	24				5/24/2016 0:00							
"$1,739.42 "	2016	Qtr 2	May	25				5/25/2016 0:00							
$982.56 	2016	Qtr 2	May	26				5/26/2016 0:00							
